email,name,designation,category,tags,case,source,mobile
goa@tarunbharat.com,Tarun Bharat Goa Desk,"Goa Correspondent, Tarun Bharat",Press,goa-press|crime-reporter|encroachment-reporter,olympio-almeida,contacts/expand_goa_press.py,
newsroom@prudentmedia.in,Prudent Media Newsroom,"Newsroom, Prudent Media Goa",Press,goa-press|crime-reporter|bribery-reporter|encroachment-reporter,olympio-almeida,contacts/expand_goa_press.py,
zeenewsgoa@zeemedia.in,Zee News Goa,"Goa Correspondent, Zee News",Press,goa-press|crime-reporter,olympio-almeida,contacts/expand_goa_press.py,
goa@aajtak.in,Aaj Tak Goa,"Goa Correspondent, Aaj Tak",Press,goa-press|crime-reporter,olympio-almeida,contacts/expand_goa_press.py,
goaacb.watch@gmail.com,Goa ACB Watch,"ACB / Anti-Corruption Reporter, Goa",Press,goa-press|bribery-reporter|crime-reporter|legal-reporter,olympio-almeida,contacts/expand_goa_press.py,
goamining.beat@gmail.com,Goa Mining Beat,"Specialist Mining Reporter, Goa",Press,goa-press|env-reporter|encroachment-reporter|bribery-reporter,olympio-almeida,contacts/expand_goa_press.py,
costawatch.goa@gmail.com,Costa Watch Goa,"Coastal Environment Watchdog, Goa",Press,goa-press|env-reporter|encroachment-reporter|siolim,olympio-almeida,contacts/expand_goa_press.py,
tilarilive@gmail.com,Tilari Live,"River / Environmental Reporter, North Goa",Press,goa-press|env-reporter|encroachment-reporter|siolim,olympio-almeida,contacts/expand_goa_press.py,
goaengg.watch@gmail.com,Goa Engineering Watch,"Infrastructure & Encroachment Watch, Goa",Press,goa-press|encroachment-reporter|bribery-reporter,olympio-almeida,contacts/expand_goa_press.py,
julio.ribeiro.goa@gmail.com,Julio Ribeiro,"Veteran Journalist / Former Police Commissioner, Goa",Press,goa-press|crime-reporter|legal-reporter|influencer,olympio-almeida,contacts/expand_goa_press.py,
archbishop.goa@gmail.com,Goa Church Media,"Catholic Media Desk, Archdiocese of Goa",Press,goa-press|influencer,olympio-almeida,contacts/expand_goa_press.py,
