tag,count
press,969
govt-state,891
police-hq,890
top-priority,193
mumbai-press,121
legal-press,106
crime-court-beat,88
goa,85
police-zone,60
times-of-india,51
editor,45
dgp-desk,44
dcp-desk,44
police-station,44
court-lower,40
reporter,34
legal-reporter,32
high-court-beat,30
court-high,25
govt-admin,20
supreme-court-beat,18
ndtv,17
mid-day,17
hindustan-times,15
police-special,14
bar-and-bench,13
ig-desk,12
fpj-mumbai,12
land-records,11
livelaw,11
sp-desk,10
cyber-crime,9
ngo-civic,8
anti-corruption,7
general,7
lawbeat,5
crime-branch,3
the-wire,3
economic-fraud,2
anti-extortion,2
court-sessions,2
individual,2
corporate,2
the-hindu,2
dna-india,2
india-legal,2
court-family,1
managing-editor,1
founder,1
the-leaflet,1
the-quint,1
thequint,1
scroll,1
frontline,1
senior-reporter,1
editor-in-chief,1
